addf_v1v20g01y2_0p75: prefix is None, Family is addf, Infix is v1v20g01y2, and Drive is 0p75. 
addh_v20g01y2_0p75: prefix is None, Family is addh, Infix is v20g01y2, and Drive is 0p75. 
an2_v20g01_0p75: prefix is None, Family is an2, Infix is v20g01, and Drive is 0p75. 
an3b_v20g01_0p75: prefix is None, Family is an3b, Infix is v20g01, and Drive is 0p75. 
an3_v20g01_0p75: prefix is None, Family is an3, Infix is v20g01, and Drive is 0p75. 
an4b_v20g01p33_1: prefix is None, Family is an4b, Infix is v20g01p33, and Drive is 1. 
an4_v20g01_0p75: prefix is None, Family is an4, Infix is v20g01, and Drive is 0p75. 
an4_v20g01p33_1: prefix is None, Family is an4, Infix is v20g01p33, and Drive is 1. 
ao211_v20g01p33_1: prefix is None, Family is ao211, Infix is v20g01p33, and Drive is 1. 
ao21b_v20g01_0p75: prefix is None, Family is ao21b, Infix is v20g01, and Drive is 0p75. 
ao21b_v20g01p33_1: prefix is None, Family is ao21b, Infix is v20g01p33, and Drive is 1. 
ao21_v20g01_0p75: prefix is None, Family is ao21, Infix is v20g01, and Drive is 0p75. 
ao21_v20g01p33_1: prefix is None, Family is ao21, Infix is v20g01p33, and Drive is 1. 
ao222_v20g01_0p75: prefix is None, Family is ao222, Infix is v20g01, and Drive is 0p75. 
ao222_v20g01p13_1: prefix is None, Family is ao222, Infix is v20g01p13, and Drive is 1. 
ao22_v20g01_1: prefix is None, Family is ao22, Infix is v20g01, and Drive is 1. 
ao22_v20g01p75_2: prefix is None, Family is ao22, Infix is v20g01p75, and Drive is 2. 
ao22_v20g03p5_3: prefix is None, Family is ao22, Infix is v20g03p5, and Drive is 3. 
ao22_v20g04p75_4: prefix is None, Family is ao22, Infix is v20g04p75, and Drive is 4. 
ao22_v20g01_0p75: prefix is None, Family is ao22, Infix is v20g01, and Drive is 0p75. 
ao2bb2_cv20v1g02_2: prefix is None, Family is ao2bb2, Infix is cv20v1g02, and Drive is 2. 
ao2bb2_v20g01_0p75: prefix is None, Family is ao2bb2, Infix is v20g01, and Drive is 0p75. 
ao31_v20g01_0p75: prefix is None, Family is ao31, Infix is v20g01, and Drive is 0p75. 
ao31_v20g01p33_1: prefix is None, Family is ao31, Infix is v20g01p33, and Drive is 1. 
ao32_v20g01_0p75: prefix is None, Family is ao32, Infix is v20g01, and Drive is 0p75. 
ao32_v20g01p33_1: prefix is None, Family is ao32, Infix is v20g01p33, and Drive is 1. 
aoa211_v20g01p33_1: prefix is None, Family is aoa211, Infix is v20g01p33, and Drive is 1. 
